,Year,Jurisdiction,Gender,Average scale score
183,2019,South Carolina,Female,220.0
184,2019,South Dakota,Male,220.0
185,2019,South Dakota,Female,224.0
186,2019,Tennessee,Male,217.0
187,2019,Tennessee,Female,221.0
188,2019,Texas,Male,212.0
189,2019,Texas,Female,220.0
190,2019,Utah,Male,221.0
191,2019,Utah,Female,229.0
192,2019,Vermont,Male,218.0
193,2019,Vermont,Female,226.0
194,2019,Virginia,Male,221.0
195,2019,Virginia,Female,227.0
196,2019,Washington,Male,217.0
197,2019,Washington,Female,222.0
198,2019,West Virginia,Male,208.0
199,2019,West Virginia,Female,218.0
200,2019,Wisconsin,Male,216.0
201,2019,Wisconsin,Female,224.0
202,2019,Wyoming,Male,226.0
203,2019,Wyoming,Female,228.0
204,2017,National,Male,219.0
205,2017,National,Female,225.0
206,2017,Alabama,Male,213.0
207,2017,Alabama,Female,220.0
208,2017,Alaska,Male,203.0
209,2017,Alaska,Female,211.0
210,2017,Arizona,Male,213.0
211,2017,Arizona,Female,218.0
212,2017,Arkansas,Male,212.0
213,2017,Arkansas,Female,221.0
214,2017,California,Male,211.0
215,2017,California,Female,220.0
216,2017,Colorado,Male,222.0
217,2017,Colorado,Female,228.0
218,2017,Connecticut,Male,226.0
219,2017,Connecticut,Female,231.0
220,2017,Delaware,Male,217.0
221,2017,Delaware,Female,226.0
222,2017,Florida,Male,226.0
223,2017,Florida,Female,231.0
224,2017,Georgia,Male,216.0
225,2017,Georgia,Female,223.0
226,2017,Hawaii,Male,212.0
227,2017,Hawaii,Female,221.0
228,2017,Idaho,Male,220.0
229,2017,Idaho,Female,225.0
230,2017,Illinois,Male,217.0
231,2017,Illinois,Female,224.0
232,2017,Indiana,Male,224.0
233,2017,Indiana,Female,229.0
234,2017,Iowa,Male,219.0
235,2017,Iowa,Female,225.0
236,2017,Kansas,Male,221.0
237,2017,Kansas,Female,226.0
238,2017,Kentucky,Male,222.0
239,2017,Kentucky,Female,226.0
240,2017,Louisiana,Male,210.0
241,2017,Louisiana,Female,213.0
242,2017,Maine,Male,219.0
243,2017,Maine,Female,224.0
244,2017,Maryland,Male,221.0
245,2017,Maryland,Female,230.0
246,2017,Massachusetts,Male,233.0
247,2017,Massachusetts,Female,239.0
248,2017,Michigan,Male,214.0
249,2017,Michigan,Female,222.0
250,2017,Minnesota,Male,222.0
251,2017,Minnesota,Female,227.0
252,2017,Mississippi,Male,212.0
253,2017,Mississippi,Female,219.0
254,2017,Missouri,Male,221.0
255,2017,Missouri,Female,225.0
256,2017,Montana,Male,220.0
257,2017,Montana,Female,225.0
258,2017,Nebraska,Male,221.0
259,2017,Nebraska,Female,228.0
260,2017,Nevada,Male,211.0
261,2017,Nevada,Female,219.0
262,2017,New Hampshire,Male,228.0
263,2017,New Hampshire,Female,230.0
264,2017,New Jersey,Male,229.0
265,2017,New Jersey,Female,237.0
266,2017,New Mexico,Male,204.0
267,2017,New Mexico,Female,212.0
268,2017,New York,Male,219.0
269,2017,New York,Female,225.0
270,2017,North Carolina,Male,221.0
271,2017,North Carolina,Female,227.0
272,2017,North Dakota,Male,217.0
273,2017,North Dakota,Female,227.0
274,2017,Ohio,Male,223.0
275,2017,Ohio,Female,227.0
276,2017,Oklahoma,Male,213.0
277,2017,Oklahoma,Female,220.0
278,2017,Oregon,Male,212.0
279,2017,Oregon,Female,223.0
280,2017,Pennsylvania,Male,224.0
281,2017,Pennsylvania,Female,226.0
282,2017,Rhode Island,Male,221.0
283,2017,Rhode Island,Female,226.0
284,2017,South Carolina,Male,210.0
285,2017,South Carolina,Female,217.0
286,2017,South Dakota,Male,219.0
287,2017,South Dakota,Female,224.0
288,2017,Tennessee,Male,215.0
289,2017,Tennessee,Female,223.0
290,2017,Texas,Male,213.0
291,2017,Texas,Female,216.0
292,2017,Utah,Male,221.0
293,2017,Utah,Female,230.0
294,2017,Vermont,Male,223.0
295,2017,Vermont,Female,230.0
296,2017,Virginia,Male,226.0
297,2017,Virginia,Female,229.0
298,2017,Washington,Male,220.0
299,2017,Washington,Female,226.0
300,2017,West Virginia,Male,213.0
301,2017,West Virginia,Female,222.0
302,2017,Wisconsin,Male,217.0
303,2017,Wisconsin,Female,223.0
304,2017,Wyoming,Male,224.0
305,2017,Wyoming,Female,230.0
306,2015,National,Male,219.0
307,2015,National,Female,226.0
308,2015,Alabama,Male,213.0
309,2015,Alabama,Female,221.0
310,2015,Alaska,Male,210.0
311,2015,Alaska,Female,216.0
312,2015,Arizona,Male,211.0
313,2015,Arizona,Female,220.0
314,2015,Arkansas,Male,213.0
315,2015,Arkansas,Female,223.0
316,2015,California,Male,210.0
317,2015,California,Female,216.0
318,2015,Colorado,Male,221.0
319,2015,Colorado,Female,228.0
320,2015,Connecticut,Male,225.0
321,2015,Connecticut,Female,233.0
322,2015,Delaware,Male,221.0
323,2015,Delaware,Female,226.0
