Jurisdiction,Alabama,Alabama,Alaska,Alaska,Arizona,Arizona,Arkansas,Arkansas,California,California,Colorado,Colorado,Connecticut,Connecticut,Delaware,Delaware,Florida,Florida,Georgia,Georgia,Hawaii,Hawaii,Idaho,Idaho,Illinois,Illinois,Indiana,Indiana,Iowa,Iowa,Kansas,Kansas,Kentucky,Kentucky,Louisiana,Louisiana,Maine,Maine,Maryland,Maryland,Massachusetts,Massachusetts,Michigan,Michigan,Minnesota,Minnesota,Mississippi,Mississippi,Missouri,Missouri,Montana,Montana,National,National,Nebraska,Nebraska,Nevada,Nevada,New Hampshire,New Hampshire,New Jersey,New Jersey,New Mexico,New Mexico,New York,New York,North Carolina,North Carolina,North Dakota,North Dakota,Ohio,Ohio,Oklahoma,Oklahoma,Oregon,Oregon,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,South Carolina,South Carolina,South Dakota,South Dakota,Tennessee,Tennessee,Texas,Texas,Utah,Utah,Vermont,Vermont,Virginia,Virginia,Washington,Washington,West Virginia,West Virginia,Wisconsin,Wisconsin,Wyoming,Wyoming
Gender,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,258.0,247.0,269.0,260.0,262.0,252.0,266.0,255.0,255.0,247.0,269.0,260.0,273.0,261.0,271.0,264.0,266.0,255.0,263.0,253.0,260.0,243.0,273.0,259.0,269.0,260.0,270.0,260.0,269.0,260.0,274.0,265.0,270.0,261.0,260.0,252.0,275.0,265.0,269.0,258.0,275.0,266.0,270.0,259.0,269.0,260.0,259.0,251.0,271.0,265.0,274.0,267.0,269.0,260.0,274.0,267.0,257.0,246.0,269.0,260.0,269.0,260.0,258.0,250.0,267.0,261.0,270.0,260.0,273.0,263.0,272.0,265.0,267.0,257.0,273.0,264.0,268.0,263.0,266.0,258.0,263.0,253.0,269.0,260.0,266.0,254.0,268.0,257.0,270.0,257.0,277.0,267.0,275.0,264.0,275.0,261.0,268.0,259.0,269.0,260.0,271.0,260.0
2003,261.0,246.0,263.0,250.0,260.0,251.0,263.0,254.0,255.0,247.0,274.0,262.0,273.0,262.0,270.0,260.0,263.0,251.0,263.0,253.0,258.0,245.0,271.0,258.0,269.0,264.0,270.0,259.0,273.0,261.0,272.0,260.0,272.0,261.0,258.0,248.0,275.0,262.0,269.0,255.0,278.0,268.0,270.0,259.0,274.0,261.0,260.0,249.0,271.0,263.0,276.0,264.0,269.0,258.0,271.0,261.0,258.0,246.0,276.0,265.0,272.0,263.0,257.0,246.0,271.0,259.0,267.0,256.0,275.0,264.0,270.0,263.0,268.0,256.0,270.0,259.0,270.0,259.0,266.0,256.0,263.0,253.0,275.0,265.0,265.0,252.0,265.0,253.0,269.0,259.0,276.0,265.0,272.0,263.0,271.0,258.0,265.0,254.0,274.0,259.0,272.0,262.0
2005,260.0,245.0,265.0,253.0,260.0,249.0,263.0,252.0,255.0,246.0,268.0,261.0,270.0,258.0,271.0,261.0,262.0,249.0,263.0,251.0,256.0,242.0,271.0,258.0,269.0,258.0,267.0,256.0,273.0,261.0,271.0,262.0,270.0,258.0,259.0,247.0,276.0,264.0,266.0,256.0,278.0,269.0,266.0,256.0,274.0,263.0,255.0,246.0,270.0,260.0,274.0,265.0,267.0,257.0,274.0,261.0,258.0,247.0,275.0,264.0,273.0,266.0,255.0,247.0,270.0,260.0,266.0,251.0,274.0,267.0,272.0,261.0,265.0,254.0,268.0,258.0,271.0,262.0,266.0,256.0,262.0,252.0,273.0,264.0,264.0,255.0,263.0,254.0,269.0,255.0,276.0,262.0,273.0,263.0,269.0,260.0,261.0,250.0,273.0,261.0,272.0,264.0
2007,257.0,247.0,264.0,253.0,259.0,251.0,263.0,253.0,257.0,246.0,271.0,262.0,272.0,262.0,269.0,260.0,266.0,254.0,264.0,253.0,259.0,244.0,270.0,260.0,267.0,259.0,270.0,259.0,272.0,263.0,272.0,263.0,266.0,257.0,258.0,248.0,276.0,264.0,270.0,260.0,278.0,269.0,266.0,255.0,274.0,263.0,255.0,246.0,268.0,259.0,278.0,265.0,268.0,258.0,272.0,262.0,259.0,245.0,275.0,264.0,274.0,266.0,255.0,247.0,269.0,258.0,265.0,254.0,272.0,264.0,272.0,264.0,264.0,255.0,271.0,260.0,270.0,265.0,261.0,256.0,262.0,253.0,274.0,266.0,264.0,254.0,266.0,256.0,267.0,258.0,278.0,268.0,272.0,262.0,270.0,260.0,262.0,248.0,272.0,257.0,271.0,261.0
2009,261.0,249.0,265.0,254.0,261.0,254.0,262.0,254.0,257.0,248.0,270.0,262.0,277.0,267.0,270.0,260.0,269.0,259.0,266.0,255.0,262.0,248.0,271.0,259.0,269.0,260.0,269.0,263.0,269.0,261.0,269.0,265.0,271.0,263.0,258.0,248.0,273.0,262.0,272.0,262.0,279.0,269.0,267.0,257.0,275.0,265.0,255.0,248.0,272.0,262.0,276.0,265.0,269.0,259.0,272.0,263.0,260.0,248.0,277.0,264.0,277.0,269.0,257.0,251.0,270.0,259.0,267.0,253.0,274.0,265.0,272.0,265.0,264.0,255.0,270.0,260.0,274.0,267.0,265.0,255.0,264.0,251.0,275.0,266.0,265.0,257.0,264.0,256.0,271.0,260.0,278.0,267.0,271.0,260.0,273.0,261.0,262.0,248.0,271.0,260.0,271.0,265.0
2011,263.0,254.0,267.0,256.0,265.0,255.0,264.0,254.0,261.0,249.0,274.0,268.0,279.0,270.0,271.0,260.0,267.0,257.0,267.0,258.0,263.0,252.0,272.0,264.0,271.0,261.0,270.0,260.0,269.0,261.0,272.0,263.0,274.0,264.0,259.0,251.0,275.0,265.0,275.0,267.0,280.0,271.0,271.0,260.0,274.0,266.0,259.0,249.0,272.0,261.0,278.0,268.0,270.0,261.0,272.0,264.0,264.0,252.0,276.0,268.0,280.0,270.0,260.0,252.0,270.0,261.0,270.0,256.0,273.0,264.0,273.0,263.0,264.0,256.0,269.0,260.0,272.0,263.0,271.0,260.0,265.0,255.0,273.0,265.0,264.0,255.0,263.0,260.0,272.0,262.0,280.0,268.0,271.0,263.0,274.0,261.0,263.0,250.0,272.0,262.0,274.0,265.0
2013,262.0,253.0,268.0,254.0,265.0,256.0,267.0,257.0,267.0,257.0,275.0,267.0,281.0,269.0,271.0,261.0,272.0,260.0,270.0,260.0,266.0,254.0,276.0,265.0,271.0,263.0,272.0,262.0,273.0,265.0,271.0,263.0,273.0,266.0,262.0,253.0,276.0,262.0,278.0,269.0,281.0,273.0,271.0,262.0,276.0,266.0,259.0,248.0,273.0,261.0,276.0,267.0,273.0,263.0,274.0,265.0,267.0,257.0,280.0,269.0,282.0,271.0,260.0,252.0,272.0,261.0,271.0,258.0,273.0,263.0,274.0,264.0,266.0,258.0,274.0,263.0,275.0,269.0,272.0,261.0,267.0,256.0,274.0,262.0,269.0,262.0,268.0,260.0,275.0,265.0,280.0,269.0,273.0,262.0,277.0,268.0,263.0,251.0,275.0,261.0,277.0,265.0
2015,265.0,253.0,268.0,254.0,267.0,259.0,265.0,252.0,263.0,255.0,275.0,261.0,279.0,268.0,268.0,257.0,269.0,258.0,269.0,255.0,263.0,252.0,275.0,263.0,272.0,262.0,273.0,264.0,271.0,265.0,272.0,262.0,273.0,263.0,260.0,251.0,273.0,264.0,276.0,260.0,278.0,271.0,270.0,260.0,276.0,264.0,258.0,247.0,274.0,260.0,275.0,265.0,270.0,261.0,275.0,264.0,265.0,254.0,281.0,269.0,275.0,267.0,258.0,248.0,268.0,259.0,268.0,254.0,272.0,263.0,271.0,261.0,267.0,259.0,274.0,262.0,273.0,265.0,270.0,260.0,267.0,254.0,272.0,263.0,269.0,261.0,265.0,256.0,275.0,264.0,279.0,269.0,271.0,263.0,274.0,261.0,264.0,256.0,275.0,264.0,275.0,263.0
2017,262.0,253.0,263.0,253.0,268.0,258.0,264.0,256.0,268.0,258.0,275.0,266.0,277.0,268.0,268.0,258.0,270.0,263.0,272.0,261.0,269.0,254.0,274.0,266.0,272.0,262.0,277.0,267.0,273.0,262.0,272.0,263.0,273.0,258.0,261.0,253.0,276.0,262.0,273.0,262.0,282.0,273.0,271.0,260.0,275.0,263.0,259.0,254.0,271.0,261.0,274.0,261.0,272.0,262.0,272.0,265.0,265.0,255.0,280.0,270.0,280.0,271.0,260.0,252.0,270.0,258.0,269.0,257.0,272.0,259.0,274.0,263.0,265.0,257.0,273.0,260.0,274.0,266.0,272.0,260.0,265.0,254.0,273.0,262.0,268.0,256.0,264.0,257.0,273.0,265.0,281.0,267.0,273.0,263.0,277.0,266.0,266.0,252.0,277.0,262.0,276.0,262.0
2019,262.0,245.0,258.0,247.0,265.0,254.0,265.0,253.0,264.0,253.0,273.0,262.0,276.0,264.0,266.0,254.0,268.0,259.0,269.0,256.0,265.0,251.0,272.0,261.0,269.0,260.0,273.0,259.0,268.0,257.0,268.0,258.0,268.0,258.0,262.0,253.0,272.0,259.0,269.0,260.0,279.0,267.0,268.0,257.0,270.0,258.0,261.0,252.0,271.0,255.0,272.0,258.0,269.0,258.0,268.0,260.0,263.0,254.0,275.0,261.0,275.0,265.0,259.0,245.0,267.0,257.0,269.0,256.0,269.0,258.0,272.0,262.0,264.0,252.0,269.0,259.0,270.0,259.0,267.0,257.0,265.0,253.0,269.0,257.0,268.0,257.0,261.0,251.0,273.0,262.0,276.0,262.0,271.0,253.0,273.0,260.0,263.0,249.0,275.0,260.0,270.0,260.0
2022,257.0,245.0,261.0,245.0,263.0,254.0,260.0,250.0,261.0,256.0,270.0,257.0,271.0,257.0,258.0,248.0,265.0,255.0,265.0,255.0,266.0,253.0,268.0,259.0,266.0,257.0,265.0,257.0,263.0,256.0,261.0,252.0,264.0,253.0,262.0,252.0,264.0,250.0,265.0,254.0,274.0,263.0,263.0,254.0,266.0,255.0,257.0,249.0,264.0,252.0,267.0,256.0,265.0,256.0,265.0,254.0,264.0,254.0,268.0,259.0,272.0,268.0,254.0,242.0,265.0,259.0,261.0,251.0,266.0,250.0,266.0,258.0,256.0,247.0,260.0,254.0,264.0,255.0,264.0,255.0,258.0,250.0,268.0,256.0,265.0,250.0,257.0,253.0,272.0,259.0,271.0,257.0,265.0,255.0,264.0,259.0,255.0,244.0,266.0,258.0,268.0,254.0
