"Jurisdiction","G8_Cluster"
"California",1
"Colorado",1
"Delaware",1
"Florida",1
"Iowa",1
"Louisiana",1
"Missouri",1
"Nebraska",1
"Nevada",1
"New Jersey",1
"New Mexico",1
"North Dakota",1
"Ohio",1
"Oklahoma",1
"Rhode Island",1
"South Dakota",1
"Tennessee",1
"Virginia",1
"Alabama",2
"Alaska",2
"Connecticut",2
"Hawaii",2
"Maine",2
"North Carolina",2
"Utah",2
"Vermont",2
"Washington",2
"West Virginia",2
"Wisconsin",2
"Wyoming",2
"Arizona",3
"Arkansas",3
"Georgia",3
"Idaho",3
"Illinois",3
"Indiana",3
"Kentucky",3
"Maryland",3
"Massachusetts",3
"Michigan",3
"Minnesota",3
"Mississippi",3
"Montana",3
"National",3
"New Hampshire",3
"New York",3
"Oregon",3
"South Carolina",3
"Kansas",4
"Pennsylvania",4
"Texas",4
