,Year,Jurisdiction,Gender,Average scale score
183,2019,South Carolina,Female,235.0
184,2019,South Dakota,Male,244.0
185,2019,South Dakota,Female,239.0
186,2019,Tennessee,Male,241.0
187,2019,Tennessee,Female,238.0
188,2019,Texas,Male,245.0
189,2019,Texas,Female,242.0
190,2019,Utah,Male,245.0
191,2019,Utah,Female,242.0
192,2019,Vermont,Male,240.0
193,2019,Vermont,Female,237.0
194,2019,Virginia,Male,248.0
195,2019,Virginia,Female,245.0
196,2019,Washington,Male,242.0
197,2019,Washington,Female,237.0
198,2019,West Virginia,Male,231.0
199,2019,West Virginia,Female,232.0
200,2019,Wisconsin,Male,243.0
201,2019,Wisconsin,Female,240.0
202,2019,Wyoming,Male,248.0
203,2019,Wyoming,Female,244.0
204,2017,National,Male,241.0
205,2017,National,Female,239.0
206,2017,Alabama,Male,232.0
207,2017,Alabama,Female,232.0
208,2017,Alaska,Male,230.0
209,2017,Alaska,Female,230.0
210,2017,Arizona,Male,236.0
211,2017,Arizona,Female,233.0
212,2017,Arkansas,Male,235.0
213,2017,Arkansas,Female,233.0
214,2017,California,Male,233.0
215,2017,California,Female,231.0
216,2017,Colorado,Male,240.0
217,2017,Colorado,Female,241.0
218,2017,Connecticut,Male,241.0
219,2017,Connecticut,Female,237.0
220,2017,Delaware,Male,236.0
221,2017,Delaware,Female,237.0
222,2017,Florida,Male,247.0
223,2017,Florida,Female,245.0
224,2017,Georgia,Male,237.0
225,2017,Georgia,Female,236.0
226,2017,Hawaii,Male,238.0
227,2017,Hawaii,Female,238.0
228,2017,Idaho,Male,242.0
229,2017,Idaho,Female,238.0
230,2017,Illinois,Male,240.0
231,2017,Illinois,Female,237.0
232,2017,Indiana,Male,248.0
233,2017,Indiana,Female,245.0
234,2017,Iowa,Male,245.0
235,2017,Iowa,Female,241.0
236,2017,Kansas,Male,242.0
237,2017,Kansas,Female,240.0
238,2017,Kentucky,Male,241.0
239,2017,Kentucky,Female,238.0
240,2017,Louisiana,Male,229.0
241,2017,Louisiana,Female,229.0
242,2017,Maine,Male,240.0
243,2017,Maine,Female,240.0
244,2017,Maryland,Male,242.0
245,2017,Maryland,Female,239.0
246,2017,Massachusetts,Male,252.0
247,2017,Massachusetts,Female,247.0
248,2017,Michigan,Male,237.0
249,2017,Michigan,Female,234.0
250,2017,Minnesota,Male,250.0
251,2017,Minnesota,Female,247.0
252,2017,Mississippi,Male,235.0
253,2017,Mississippi,Female,234.0
254,2017,Missouri,Male,241.0
255,2017,Missouri,Female,238.0
256,2017,Montana,Male,241.0
257,2017,Montana,Female,240.0
258,2017,Nebraska,Male,247.0
259,2017,Nebraska,Female,244.0
260,2017,Nevada,Male,232.0
261,2017,Nevada,Female,231.0
262,2017,New Hampshire,Male,247.0
263,2017,New Hampshire,Female,244.0
264,2017,New Jersey,Male,248.0
265,2017,New Jersey,Female,247.0
266,2017,New Mexico,Male,230.0
267,2017,New Mexico,Female,229.0
268,2017,New York,Male,238.0
269,2017,New York,Female,233.0
270,2017,North Carolina,Male,242.0
271,2017,North Carolina,Female,240.0
272,2017,North Dakota,Male,246.0
273,2017,North Dakota,Female,243.0
274,2017,Ohio,Male,241.0
275,2017,Ohio,Female,240.0
276,2017,Oklahoma,Male,239.0
277,2017,Oklahoma,Female,236.0
278,2017,Oregon,Male,235.0
279,2017,Oregon,Female,231.0
280,2017,Pennsylvania,Male,243.0
281,2017,Pennsylvania,Female,240.0
282,2017,Rhode Island,Male,238.0
283,2017,Rhode Island,Female,237.0
284,2017,South Carolina,Male,235.0
285,2017,South Carolina,Female,233.0
286,2017,South Dakota,Male,244.0
287,2017,South Dakota,Female,239.0
288,2017,Tennessee,Male,237.0
289,2017,Tennessee,Female,236.0
290,2017,Texas,Male,241.0
291,2017,Texas,Female,241.0
292,2017,Utah,Male,244.0
293,2017,Utah,Female,240.0
294,2017,Vermont,Male,241.0
295,2017,Vermont,Female,240.0
296,2017,Virginia,Male,250.0
297,2017,Virginia,Female,245.0
298,2017,Washington,Male,243.0
299,2017,Washington,Female,240.0
300,2017,West Virginia,Male,237.0
301,2017,West Virginia,Female,236.0
302,2017,Wisconsin,Male,242.0
303,2017,Wisconsin,Female,239.0
304,2017,Wyoming,Male,249.0
305,2017,Wyoming,Female,246.0
306,2015,National,Male,241.0
307,2015,National,Female,239.0
308,2015,Alabama,Male,231.0
309,2015,Alabama,Female,231.0
310,2015,Alaska,Male,238.0
311,2015,Alaska,Female,235.0
312,2015,Arizona,Male,239.0
313,2015,Arizona,Female,236.0
314,2015,Arkansas,Male,235.0
315,2015,Arkansas,Female,235.0
316,2015,California,Male,233.0
317,2015,California,Female,230.0
318,2015,Colorado,Male,243.0
319,2015,Colorado,Female,240.0
320,2015,Connecticut,Male,241.0
321,2015,Connecticut,Female,239.0
322,2015,Delaware,Male,240.0
323,2015,Delaware,Female,238.0
324,2015,Florida,Male,243.0
325,2015,Florida,Female,242.0
326,2015,Georgia,Male,237.0
327,2015,Georgia,Female,236.0
328,2015,Hawaii,Male,238.0
329,2015,Hawaii,Female,238.0
330,2015,Idaho,Male,239.0
331,2015,Idaho,Female,238.0
332,2015,Illinois,Male,238.0
