Year,Jurisdiction,Gender,Average scale score
2017,Alaska,Male,230.0
2017,Alaska,Female,230.0
2017,Arizona,Male,236.0
2017,Arizona,Female,233.0
2017,Arkansas,Male,235.0
2017,Arkansas,Female,233.0
2017,California,Male,233.0
2017,California,Female,231.0
2017,Colorado,Male,240.0
2017,Colorado,Female,241.0
2017,Connecticut,Male,241.0
2017,Connecticut,Female,237.0
2017,Delaware,Male,236.0
2017,Delaware,Female,237.0
2017,Florida,Male,247.0
2017,Florida,Female,245.0
2017,Georgia,Male,237.0
2017,Georgia,Female,236.0
2017,Hawaii,Male,238.0
2017,Hawaii,Female,238.0
2017,Idaho,Male,242.0
2017,Idaho,Female,238.0
2017,Illinois,Male,240.0
2017,Illinois,Female,237.0
2017,Indiana,Male,248.0
2017,Indiana,Female,245.0
2017,Iowa,Male,245.0
2017,Iowa,Female,241.0
2017,Kansas,Male,242.0
2017,Kansas,Female,240.0
2017,Kentucky,Male,241.0
2017,Kentucky,Female,238.0
2017,Louisiana,Male,229.0
2017,Louisiana,Female,229.0
2017,Maine,Male,240.0
2017,Maine,Female,240.0
2017,Maryland,Male,242.0
2017,Maryland,Female,239.0
2017,Massachusetts,Male,252.0
2017,Massachusetts,Female,247.0
2017,Michigan,Male,237.0
2017,Michigan,Female,234.0
2017,Minnesota,Male,250.0
2017,Minnesota,Female,247.0
2017,Mississippi,Male,235.0
2017,Mississippi,Female,234.0
2017,Missouri,Male,241.0
2017,Missouri,Female,238.0
2017,Montana,Male,241.0
2017,Montana,Female,240.0
2017,Nebraska,Male,247.0
2017,Nebraska,Female,244.0
2017,Nevada,Male,232.0
2017,Nevada,Female,231.0
2017,New Hampshire,Male,247.0
2017,New Hampshire,Female,244.0
2017,New Jersey,Male,248.0
2017,New Jersey,Female,247.0
2017,New Mexico,Male,230.0
2017,New Mexico,Female,229.0
2017,New York,Male,238.0
2017,New York,Female,233.0
2017,North Carolina,Male,242.0
2017,North Carolina,Female,240.0
2017,North Dakota,Male,246.0
2017,North Dakota,Female,243.0
2017,Ohio,Male,241.0
2017,Ohio,Female,240.0
2017,Oklahoma,Male,239.0
2017,Oklahoma,Female,236.0
2017,Oregon,Male,235.0
2017,Oregon,Female,231.0
2017,Pennsylvania,Male,243.0
2017,Pennsylvania,Female,240.0
2017,Rhode Island,Male,238.0
2017,Rhode Island,Female,237.0
2017,South Carolina,Male,235.0
2017,South Carolina,Female,233.0
2017,South Dakota,Male,244.0
2017,South Dakota,Female,239.0
2017,Tennessee,Male,237.0
2017,Tennessee,Female,236.0
2017,Texas,Male,241.0
2017,Texas,Female,241.0
2017,Utah,Male,244.0
2017,Utah,Female,240.0
2017,Vermont,Male,241.0
2017,Vermont,Female,240.0
2017,Virginia,Male,250.0
2017,Virginia,Female,245.0
2017,Washington,Male,243.0
2017,Washington,Female,240.0
2017,West Virginia,Male,237.0
2017,West Virginia,Female,236.0
2017,Wisconsin,Male,242.0
2017,Wisconsin,Female,239.0
2017,Wyoming,Male,249.0
2017,Wyoming,Female,246.0
2015,National,Male,241.0
2015,National,Female,239.0
2015,Alabama,Male,231.0
2015,Alabama,Female,231.0
2015,Alaska,Male,238.0
2015,Alaska,Female,235.0
2015,Arizona,Male,239.0
2015,Arizona,Female,236.0
2015,Arkansas,Male,235.0
2015,Arkansas,Female,235.0
2015,California,Male,233.0
2015,California,Female,230.0
2015,Colorado,Male,243.0
2015,Colorado,Female,240.0
2015,Connecticut,Male,241.0
2015,Connecticut,Female,239.0
2015,Delaware,Male,240.0
2015,Delaware,Female,238.0
2015,Florida,Male,243.0
2015,Florida,Female,242.0
2015,Georgia,Male,237.0
2015,Georgia,Female,236.0
2015,Hawaii,Male,238.0
