Year,Jurisdiction,Gender,Average scale score
2017,Hawaii,Male,212
2017,Hawaii,Female,221
2017,Idaho,Male,220
2017,Idaho,Female,225
2017,Illinois,Male,217
2017,Illinois,Female,224
2017,Indiana,Male,224
2017,Indiana,Female,229
2017,Iowa,Male,219
2017,Iowa,Female,225
2017,Kansas,Male,221
2017,Kansas,Female,226
2017,Kentucky,Male,222
2017,Kentucky,Female,226
2017,Louisiana,Male,210
2017,Louisiana,Female,213
2017,Maine,Male,219
2017,Maine,Female,224
2017,Maryland,Male,221
2017,Maryland,Female,230
2017,Massachusetts,Male,233
2017,Massachusetts,Female,239
2017,Michigan,Male,214
2017,Michigan,Female,222
2017,Minnesota,Male,222
2017,Minnesota,Female,227
2017,Mississippi,Male,212
2017,Mississippi,Female,219
2017,Missouri,Male,221
2017,Missouri,Female,225
2017,Montana,Male,220
2017,Montana,Female,225
2017,Nebraska,Male,221
2017,Nebraska,Female,228
2017,Nevada,Male,211
2017,Nevada,Female,219
2017,New Hampshire,Male,228
2017,New Hampshire,Female,230
2017,New Jersey,Male,229
2017,New Jersey,Female,237
2017,New Mexico,Male,204
2017,New Mexico,Female,212
2017,New York,Male,219
2017,New York,Female,225
2017,North Carolina,Male,221
2017,North Carolina,Female,227
2017,North Dakota,Male,217
2017,North Dakota,Female,227
2017,Ohio,Male,223
2017,Ohio,Female,227
2017,Oklahoma,Male,213
2017,Oklahoma,Female,220
2017,Oregon,Male,212
2017,Oregon,Female,223
2017,Pennsylvania,Male,224
2017,Pennsylvania,Female,226
2017,Rhode Island,Male,221
2017,Rhode Island,Female,226
2017,South Carolina,Male,210
2017,South Carolina,Female,217
2017,South Dakota,Male,219
2017,South Dakota,Female,224
2017,Tennessee,Male,215
2017,Tennessee,Female,223
2017,Texas,Male,213
2017,Texas,Female,216
2017,Utah,Male,221
2017,Utah,Female,230
2017,Vermont,Male,223
2017,Vermont,Female,230
2017,Virginia,Male,226
2017,Virginia,Female,229
2017,Washington,Male,220
2017,Washington,Female,226
2017,West Virginia,Male,213
2017,West Virginia,Female,222
2017,Wisconsin,Male,217
2017,Wisconsin,Female,223
