Jurisdiction,Gaps
Alabama,"[2.0, -3.0, 2.0, -1.0, 0.0, 0.0, -1.0, 3.0, -3.0, 1.0]"
Alaska,"[2.0, 2.0, -1.0, 0.0, -1.0, 1.0, -1.0, 0.0, 5.0, 3.0]"
Arizona,"[0.0, 0.0, 3.0, 3.0, 6.0, 1.0, 0.0, 5.0, -2.0, 2.0]"
Arkansas,"[-2.0, -3.0, 0.0, -2.0, 2.0, -1.0, 0.0, 1.0, -3.0, 2.0]"
California,"[2.0, 1.0, 0.0, 4.0, 0.0, 2.0, -1.0, 0.0, -2.0, 1.0]"
Colorado,"[1.0, 0.0, 1.0, 3.0, -1.0, -1.0, 3.0, 0.0, 1.0, 2.0]"
Connecticut,"[2.0, 0.0, -1.0, -1.0, 2.0, 0.0, 1.0, -1.0, -1.0, 3.0]"
Delaware,"[2.0, 4.0, 4.0, 1.0, -2.0, 3.0, 0.0, 0.0, -1.0, 2.0]"
Florida,"[4.0, 4.0, 1.0, 3.0, 1.0, 2.0, -1.0, 4.0, 1.0, 2.0]"
Georgia,"[1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 3.0]"
Hawaii,"[-1.0, -1.0, -3.0, -5.0, -2.0, -4.0, -5.0, -4.0, -1.0, 0.0]"
Idaho,"[2.0, -2.0, 3.0, 2.0, 1.0, 1.0, 0.0, 2.0, 4.0, 2.0]"
Illinois,"[2.0, 3.0, 3.0, 4.0, 0.0, 0.0, 0.0, 5.0, 1.0, 5.0]"
Indiana,"[2.0, 3.0, 2.0, 3.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0]"
Iowa,"[2.0, -1.0, 3.0, 1.0, 2.0, 2.0, 2.0, -1.0, 0.0, 2.0]"
Kansas,"[0.0, 2.0, 2.0, 3.0, 2.0, 1.0, 0.0, 5.0, 2.0, 2.0]"
Kentucky,"[1.0, 2.0, 3.0, 3.0, 1.0, 1.0, -2.0, -4.0, -4.0, 0.0]"
Louisiana,"[1.0, -1.0, 1.0, -1.0, -2.0, 0.0, -2.0, 1.0, -3.0, 1.0]"
Maine,"[2.0, 2.0, 3.0, 4.0, -1.0, 3.0, 1.0, 0.0, 1.0, 3.0]"
Maryland,"[3.0, 0.0, 3.0, 3.0, 2.0, -1.0, -3.0, 2.0, 0.0, -1.0]"
Massachusetts,"[5.0, -1.0, 4.0, 2.0, 1.0, 1.0, -4.0, -2.0, -3.0, 1.0]"
Michigan,"[1.0, 4.0, 3.0, 3.0, 3.0, -1.0, 3.0, 1.0, -1.0, 4.0]"
Minnesota,"[-3.0, 2.0, 0.0, 3.0, 0.0, 1.0, 0.0, 0.0, -3.0, 2.0]"
Mississippi,"[2.0, 1.0, 2.0, 0.0, -5.0, 0.0, -4.0, 0.0, -2.0, 1.0]"
Missouri,"[2.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 1.0, 0.0, 4.0]"
Montana,"[0.0, -1.0, 0.0, 1.0, 0.0, 0.0, 3.0, -1.0, -2.0, 1.0]"
National,"[1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0]"
Nebraska,"[3.0, 2.0, 3.0, 3.0, 2.0, 0.0, 1.0, 2.0, -2.0, 3.0]"
Nevada,"[0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, -1.0, 3.0]"
New Hampshire,"[1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 2.0, 2.0, 2.0, 5.0]"
New Jersey,"[1.0, 4.0, 2.0, 5.0, 0.0, -2.0, 1.0, 2.0, 0.0, 2.0]"
New Mexico,"[1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0]"
New York,"[2.0, 0.0, 1.0, 1.0, -1.0, -3.0, 0.0, -1.0, 1.0, 2.0]"
North Carolina,"[-1.0, -1.0, 2.0, 0.0, -2.0, -1.0, -1.0, -1.0, -5.0, -1.0]"
North Dakota,"[0.0, 0.0, 3.0, 3.0, 2.0, 1.0, 0.0, 0.0, -1.0, 3.0]"
Ohio,"[2.0, 2.0, 3.0, 3.0, 2.0, 1.0, -2.0, 0.0, -2.0, 0.0]"
Oklahoma,"[0.0, 1.0, 4.0, 4.0, 2.0, -1.0, 1.0, -1.0, 1.0, 2.0]"
Oregon,"[2.0, 3.0, 2.0, 4.0, 5.0, 3.0, -2.0, 2.0, -1.0, 4.0]"
Pennsylvania,"[3.0, 4.0, 6.0, 3.0, 2.0, 1.0, -2.0, -3.0, -2.0, 4.0]"
Rhode Island,"[2.0, -1.0, 1.0, 0.0, 0.0, 0.0, -3.0, 1.0, -1.0, 2.0]"
South Carolina,"[6.0, 1.0, -1.0, 1.0, -2.0, 2.0, -2.0, -1.0, -1.0, 0.0]"
South Dakota,"[2.0, 0.0, 3.0, 3.0, 1.0, 1.0, -2.0, -1.0, -3.0, 1.0]"
Tennessee,"[0.0, -1.0, 6.0, 0.0, 4.0, 0.0, 0.0, -1.0, -2.0, -2.0]"
Texas,"[2.0, 4.0, 2.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 5.0]"
Utah,"[2.0, 2.0, 2.0, 2.0, 4.0, 1.0, 2.0, 2.0, 2.0, 7.0]"
Vermont,"[0.0, 0.0, 2.0, 2.0, 0.0, -1.0, 3.0, -1.0, -1.0, -1.0]"
Virginia,"[3.0, 2.0, 3.0, 2.0, 0.0, -1.0, 2.0, 0.0, -1.0, 2.0]"
Washington,"[1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 0.0, 7.0]"
West Virginia,"[0.0, -2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0, -1.0, 1.0]"
Wisconsin,"[0.0, 1.0, 3.0, 2.0, 3.0, 0.0, 0.0, 2.0, -1.0, 4.0]"
Wyoming,"[1.0, 2.0, 2.0, 4.0, 5.0, 3.0, -2.0, 0.0, -3.0, 1.0]"
